name,latitude,longitude,short_description
Метро Политехническая,60.008936,30.370899,
Фонтан Мы,60.008867,30.372460,
Студент-политехник (скульптура),60.008894,30.372340,
Храм Покрова Пресвятой Богородицы,60.008590,30.371841,
Пётр и Феврония Муромские (памятник),60.006909,30.381488,
Музей Политеха,60.005147,30.378299,"Научно-технический музей, располагающий вековыми материалами о важнейших событиях в жизни Политеха, от периода его закладки до современных достижений."
Гидробашня СПбПУ,60.005740,30.374240,
Мемориал Погибшим Политехникам,60.006607,30.372474,
Космонавт (памятник),60.006952,30.370214,
Физико-технический институт им. А. Ф. Иоффе,60.006840,30.368804,"Один из ведущих научных центров России, где проводятся исследования в области фундаментальной и прикладной физики."
