name,latitude,longitude
Парк Политехнического университета,60.004555,30.375246
Гидробашня СПбПУ,60.005740,30.374240
Космонавт (памятник),60.006952,30.370214
Мемориал Погибшим Политехникам,60.006607,30.372474
Музей Политеха,60.005147,30.378299
Пётр и Феврония Муромские (памятник),60.006909,30.381488
Храм Покрова Пресвятой Богородицы,60.008590,30.371841
Фонтан Мы,60.008867,30.372460
Студент-политехник (скульптура),60.008894,30.372340
Белый зал,60.007252,30.372663
Памятник Чапаеву,60.011172,30.372659
Физико-технический институт им. А. Ф. Иоффе,60.006840,30.368804
Сад Бенуа,60.018415,30.370837
Дача Бенуа,60.017700, 30.369618
Институт робототехники и технической кибернетики,60.020942, 30.370568
Алфёровский университет,60.002738,30.374368
