name,latitude,longitude
Для бережливых,60.0241729,30.3948676
Петербургские аптеки,60.0237548,30.3777782
Невис,60.015593,30.3686134
Первая помощь,60.0135995,30.3690616
Озерки,60.0140567,30.3951296
Озерки,60.0137033,30.3970698
Столички,60.0120325,30.3954914
Фиалка,60.0129162,30.3950295
Озерки,60.0132436,30.3992721
Аптека доктора Живило,60.0171789,30.4028269
Озерки,60.0094905,30.3702668
Вита Центральная,60.0163053,30.3793752
Вита Экспресс,60.0147086,30.3927541
Столички,60.012934,30.394477
Столички,60.009533,30.3699435
Столички,60.0150652,30.3859949
Столички,60.022613,30.3736587
Здравсити,60.0198461,30.4034878
78 плюс,60.0136646,30.3967367
Планета здоровья,60.0137355,30.3938581
Доктор Столетов,60.0146999,30.3886216
Алоэ,59.997881,30.3708297
АптекаПлюс,59.9988668,30.3660526
Магнит Аптека,60.0219971,30.3924198
Столички,60.0120151,30.4036406
Горздрав,59.9984282,30.3661172
Горздрав,60.0121804,30.4029626
Горздрав,60.0243509,30.3951146
